Segment,CustLocation,Customer_Count,Monetary,Recency,Frequency
Churn Risk,GAUTAM BUDDHA NAGAR,1,50351.0,29.0,3.0
Churn Risk,GAUTAM BUDH NAGAR,1,100558.96,42.0,2.0
Churn Risk,GEORAI BEED,1,55854.0,60.0,2.0
Churn Risk,GHAZIABAD,42,71175.35142857142,50.476190476190474,1.619047619047619
Churn Risk,GHAZIPUR,1,69400.0,44.0,3.0
Churn Risk,GHODBUNDER ROAD THANE (W) THANE,1,52664.0,76.0,1.0
Churn Risk,GONDA,1,63000.0,39.0,1.0
Churn Risk,GOPALGANJ,1,88142.51,25.0,2.0
Churn Risk,GORAKHPUR,1,50830.0,60.0,1.0
Churn Risk,GREATER NOIDA,4,55273.25,61.25,1.5
Churn Risk,GUNTUR,30,72137.59933333333,50.333333333333336,1.4
Churn Risk,GURGAON,192,82568.0559375,49.296875,1.6614583333333333
Churn Risk,GUWAHATI,10,65919.6,39.6,1.6
Churn Risk,GWALIOR,6,106456.85833333334,43.166666666666664,1.5
Churn Risk,HAJIPUR,1,100555.0,59.0,2.0
Churn Risk,HAMIRPUR,3,79238.66666666667,46.0,1.3333333333333333
Churn Risk,HATHRAS,1,50597.0,55.0,2.0
Churn Risk,HIGHWAY GOREGAON (EAST) MUMBAI,1,100100.0,48.0,2.0
Churn Risk,HOOGHLY,3,75393.5,60.333333333333336,2.0
Churn Risk,HOSUR,2,85145.995,40.5,3.0
Churn Risk,HOWRAH,9,70176.99444444444,57.77777777777778,2.111111111111111
Churn Risk,HUBLI,1,50400.0,41.0,1.0
Churn Risk,HYDERABAD,74,82182.34554054054,51.54054054054054,1.8918918918918919
Churn Risk,INDIRAPURAM,2,75440.0,56.5,1.5
Churn Risk,INDORE,7,59716.28571428572,54.57142857142857,1.4285714285714286
Churn Risk,JAIPUR,16,71000.0375,47.625,2.3125
Churn Risk,JAIPUR DURGAPURA,1,378615.46,36.0,2.0
Churn Risk,JALANDHAR,8,110814.59625,40.625,1.625
Churn Risk,JALPAIGURI SILIGURI,1,59097.0,70.0,1.0
Churn Risk,JAMMU,3,56994.426666666666,44.666666666666664,1.6666666666666667
Churn Risk,JAMNAGAR,14,58611.16571428572,42.0,1.2857142857142858
Churn Risk,JAMSHEDPUR,2,60018.229999999996,68.0,2.5
Churn Risk,JHAJJAR,1,60838.0,62.0,3.0
Churn Risk,JHALAWAR,1,51712.0,41.0,2.0
Churn Risk,JODHPUR,6,67982.94166666667,51.0,1.5
Churn Risk,K K NAGAR CHENNAI,1,50342.5,57.0,2.0
Churn Risk,K V RANGAREDDY,5,88908.0,65.2,1.4
Churn Risk,KADAPA,1,52311.2,48.0,4.0
Churn Risk,KADI,1,57696.0,24.0,1.0
Churn Risk,KAITHAL,1,50817.58,26.0,4.0
Churn Risk,KALKA,1,41895.0,47.0,2.0
Churn Risk,KALYANI,1,45751.0,65.0,1.0
Churn Risk,KALYANI NAGAR PUNE,1,55397.0,44.0,4.0
Churn Risk,KANCHEEPURAM,5,51158.4,63.8,1.4
Churn Risk,KANGRA,7,60647.532857142854,43.142857142857146,2.4285714285714284
Churn Risk,KANNUR,3,70610.33333333333,44.0,1.0
Churn Risk,KANPUR,5,100534.0,52.0,1.8
Churn Risk,KANPUR NAGAR,1,58038.0,74.0,1.0
Churn Risk,KARIMNAGAR,1,101295.0,51.0,2.0
Churn Risk,KARJAT RAIGAD,1,50170.0,33.0,1.0
Churn Risk,KARNAL,15,86334.95266666666,59.06666666666667,1.4
Churn Risk,KASHIPUR,1,51804.85,48.0,2.0
Churn Risk,KATGHORA,2,64709.5,59.0,2.0
Churn Risk,KATIHAR,1,50062.0,38.0,2.0
Churn Risk,KHAGARIA,1,100114.0,76.0,2.0
Churn Risk,KHAMMAM,2,100357.5,39.5,2.5
Churn Risk,KHANNA,6,87951.40999999999,56.0,1.6666666666666667
Churn Risk,KHARAR,4,79454.5,55.0,1.75
Churn Risk,KIGALI,2,70064.2,47.5,1.5
Churn Risk,KOCHI,4,62447.0,52.5,1.75
Churn Risk,KOLAR - DISTRICT,1,140100.0,36.0,2.0
Churn Risk,KOLHAPUR,3,66340.0,62.666666666666664,2.0
Churn Risk,KOLKATA,35,96741.75771428572,49.77142857142857,1.8285714285714285
Churn Risk,KOPPAL,2,68472.425,56.5,1.5
Churn Risk,KOTA,1,43356.0,56.0,2.0
Churn Risk,KOTTAYAM,5,48459.03,54.6,2.0
Churn Risk,KOZHIKODE,1,69292.0,37.0,3.0
Churn Risk,KRISHNA,1,73154.0,43.0,3.0
Churn Risk,KRISHNAGIRI,1,60443.0,57.0,3.0
Churn Risk,KUALA BELAIT,1,47858.0,80.0,2.0
Churn Risk,KUMBAKONAM,1,50040.0,55.0,2.0
Churn Risk,KURNOOL,3,76666.66666666667,76.0,1.0
Churn Risk,KURUKSHETRA,1,100200.0,61.0,2.0
Churn Risk,KUTTOOR PANCHAYATH,1,70000.0,64.0,1.0
Churn Risk,LATUR,1,57068.9,41.0,4.0
Churn Risk,LAXMINAGAR,1,58035.0,37.0,2.0
Churn Risk,LUCKNOW,23,95018.16608695651,48.73913043478261,1.826086956521739
Churn Risk,LUDHIANA,14,132865.92857142858,50.5,1.6428571428571428
Churn Risk,LUTON,1,43357.0,58.0,1.0
Churn Risk,MADURAI,2,63525.0,44.0,1.5
Churn Risk,MAHABUBNAGAR,1,100381.0,40.0,3.0
Churn Risk,MAHALAXMI MUMBAI,2,43818.505000000005,72.5,1.0
Churn Risk,MAHENDRAGARH,1,52050.0,52.0,2.0
Churn Risk,MALLESWARAM WEST BANGALORE,1,61306.55,21.0,3.0
Churn Risk,MANALI,2,100275.0,57.0,1.5
Churn Risk,MANDAL K V RANGAREDDY HYDERABAD,1,50280.0,81.0,2.0
Churn Risk,MANDI,1,49718.0,45.0,2.0
Churn Risk,MANDI DABWALI,1,61840.0,69.0,1.0
Churn Risk,MANDIR DHANBAD,1,44712.0,21.0,1.0
Churn Risk,MANGALORE,2,58365.5,33.0,2.5
Churn Risk,MATHURA,1,54433.0,61.0,3.0
Churn Risk,MAYURBHANJ,1,132910.19,65.0,3.0
Churn Risk,MEDAK,3,50203.333333333336,45.0,2.0
Churn Risk,MEDINIPUR,1,100320.0,48.0,3.0
Churn Risk,MEERUT,13,67468.99384615385,50.61538461538461,1.8461538461538463
Churn Risk,MILTON KEYNES,3,103579.0,55.0,1.0
Churn Risk,MIRABHAYANDER THANE MIRA ROAD,1,50111.0,53.0,2.0
Churn Risk,MIRZAPUR,1,60200.0,41.0,2.0
Churn Risk,MOGA,1,53000.0,0.0,1.0
Churn Risk,MOHALI,13,70141.8346153846,47.0,1.8461538461538463
Churn Risk,MOMBASA,2,68653.15,52.5,2.5
Churn Risk,MORADABAD,4,78742.0,37.75,1.5
Churn Risk,MORENA,1,93895.0,62.0,3.0
Churn Risk,MORMUGAO,1,79974.9,48.0,2.0
Churn Risk,MUKTSAR,4,62180.0625,46.25,1.5
Churn Risk,MUMBAI,288,72004.37677083333,50.375,1.71875
Churn Risk,MUNCHEN,5,150310.8,25.8,1.6
Churn Risk,MUPPALLA GUNTUR,1,53511.61,0.0,4.0
Churn Risk,MUZAFFARNAGAR,1,109080.0,44.0,2.0
Churn Risk,MYSORE RD BANGALORE,1,50000.0,50.0,1.0
Churn Risk,NADIAD,2,49250.0,47.0,1.0
Churn Risk,NAGPUR,5,60758.064,39.2,2.2
Churn Risk,NAINITAL,1,95355.0,36.0,3.0
Churn Risk,NAKODAR,2,75448.25,50.0,1.5
Churn Risk,NALGONDA,2,63146.735,53.0,2.0
Churn Risk,NAMAKKAL,1,61218.0,25.0,2.0
Churn Risk,NAMAKKAL DT,1,106465.0,41.0,4.0
Churn Risk,NANDURBAR,1,54352.0,73.0,2.0
Churn Risk,NANGAL,2,58606.8,59.0,1.5
Churn Risk,NAPERVILLE,3,115133.33333333333,42.0,1.0
Churn Risk,NARNAUL,2,57552.5,58.5,1.5
Churn Risk,NAROLI,3,50000.0,63.0,1.0
Churn Risk,NASHIK,8,54731.15125,51.125,1.5
Churn Risk,NAVI MUMBAI,19,87128.31947368421,48.26315789473684,1.9473684210526316
Churn Risk,NAWANSHAHR,3,57541.166666666664,54.0,2.0
Churn Risk,NELLORE,3,69451.0,45.333333333333336,2.0
Churn Risk,NELLORE 1,1,53602.76,51.0,2.0
Churn Risk,NEW DELHI,243,85950.35139917696,52.76954732510288,1.6502057613168724
Churn Risk,NO 3 NR LALLAN HOTEL THANE,1,82378.0,53.0,3.0
Churn Risk,NOIDA,83,81052.73662650603,50.01204819277108,1.9036144578313252
Churn Risk,NOIDA SEC 77,1,82183.0,38.0,4.0
Churn Risk,NORTH 24 PARGANAS,4,102346.42,47.25,2.0
Churn Risk,NORTH WEST DELHI,2,47397.0,0.0,1.0
Churn Risk,NSW,1,45933.0,77.0,1.0
Churn Risk,OLD AIRPORT MUMBAI,1,57500.06,69.0,1.0
Churn Risk,OPP ALLAHABAD BANK MUMBAI,1,49333.0,40.0,2.0
Churn Risk,ORLANDO,4,123981.75,46.75,1.0
Churn Risk,OUTERRING ROAD BANGLORE,1,50000.0,61.0,1.0
Churn Risk,PALAMU,1,79862.9,41.0,4.0
Churn Risk,PANCHKULA,7,56331.0,45.142857142857146,2.4285714285714284
Churn Risk,PANIPAT,6,65011.0,54.166666666666664,1.8333333333333333
Churn Risk,PANVEL,1,148481.0,47.0,2.0
Churn Risk,PAONTA SAHIB,1,71640.0,66.0,2.0
Churn Risk,PARK MAHAPE NAVI MUMBAI,1,49463.0,39.0,2.0
Churn Risk,PARRAMATTA,1,271946.46,41.0,3.0
Churn Risk,PATHANAMTHITTA,1,100098.96,58.0,2.0
Churn Risk,PATIALA,13,60518.16923076923,43.07692307692308,1.7692307692307692
Churn Risk,PATNA,5,50887.738,59.6,1.6
Churn Risk,PATNA PATNA,1,107307.0,42.0,2.0
Churn Risk,PATPARGANJ,2,66294.5,49.0,1.5
Churn Risk,PEN,1,50600.0,72.0,2.0
Churn Risk,PERAMBALUR,1,43919.0,37.0,2.0
Churn Risk,PETLAD,1,62518.0,56.0,2.0
Churn Risk,PETROLBUNK BANGALORE,1,61900.0,59.0,1.0
Churn Risk,PHASE I PHINJEWADI PUNE,2,55879.0,69.5,1.5
Churn Risk,PHASE-01 HINJEWADI PUNE,1,100000.0,61.0,1.0
Churn Risk,PILANI,1,100239.96,72.0,2.0
Churn Risk,PINJORE,2,96618.85,34.5,2.5
Churn Risk,PO BOX 250310 RIYADH,1,65068.0,56.0,3.0
Churn Risk,PO NONGTHYMAI,1,47292.0,36.0,1.0
Churn Risk,PONDICHERRY,4,52268.005,57.25,1.25
Churn Risk,PORBANDAR,1,50050.0,55.0,2.0
Churn Risk,PRAKASAM DIST (AP),1,60370.0,56.0,2.0
Churn Risk,PRATAPGARH,1,74700.0,39.0,2.0
Churn Risk,PS ABERDEEN PORT BLAIR,3,71695.0,65.33333333333333,1.3333333333333333
Churn Risk,PUNE,54,112301.0937037037,51.574074074074076,1.6851851851851851
Churn Risk,PURI,1,60000.0,36.0,1.0
Churn Risk,PURNIA,1,83808.0,44.0,2.0
Churn Risk,RAIGAD,1,61527.5,54.0,3.0
Churn Risk,RAIPUR,7,111220.81857142856,53.42857142857143,1.8571428571428572
Churn Risk,RAIPUR C G,1,49490.0,36.0,2.0
Churn Risk,RAJAHMUNDRY,2,45680.0,53.0,1.0
Churn Risk,RAJKOT,2,110150.0,25.0,1.5
Churn Risk,RAJSAMAND,2,56034.45,56.5,2.5
Churn Risk,RAMAPURAM CHENNAI,6,95486.83333333333,42.666666666666664,1.5
Churn Risk,RAMNAGAR,2,51730.0,46.0,1.0
Churn Risk,RANCHI,8,63071.38375,51.75,2.125
Churn Risk,RANGA REDDY,3,70629.33333333333,30.0,2.0
Churn Risk,RATNAGIRI,1,71181.0,47.0,3.0
Churn Risk,RD BANGALORE,3,51833.71666666667,68.0,1.3333333333333333
Churn Risk,RESTAURENT BANGALORE,2,71572.5,47.5,1.5
Churn Risk,REWARI,2,54487.3,43.0,2.5
Churn Risk,RIASI,1,49000.0,36.0,1.0
Churn Risk,RING ROAD BANGALORE,1,100480.0,26.0,3.0
Churn Risk,RISHIKESH,4,49314.75,54.5,1.0
Churn Risk,RIYADH,4,112631.25,63.5,1.5
Churn Risk,ROAD BANGALORE,1,59004.28,47.0,3.0
Churn Risk,ROHTAK,9,63199.706666666665,54.22222222222222,1.6666666666666667
Churn Risk,ROOMFORD,1,117621.0,53.0,1.0
Churn Risk,ROORKEE,7,55503.224285714285,77.42857142857143,1.1428571428571428
Churn Risk,ROURKELA,2,59491.5,40.5,3.0
Churn Risk,RUDRAPUR,3,57397.666666666664,50.666666666666664,2.3333333333333335
Churn Risk,RUPNAGAR,2,100000.0,57.0,1.0
Churn Risk,SADARMANGALA BANGALORE,1,81410.77,0.0,3.0
Churn Risk,SAGAR,1,67059.0,55.0,3.0
Churn Risk,SAHARANPUR,3,78072.98333333334,44.666666666666664,2.6666666666666665
Churn Risk,SAHIBABAD,1,79837.8,39.0,2.0
Churn Risk,SAHIBJADA AJIT SINGH NAGAR,1,50400.0,36.0,2.0
Churn Risk,SAHNEWAL,1,72177.0,33.0,2.0
Churn Risk,SALEM,2,66921.0,37.5,2.5
Churn Risk,SANGVI FAMOUS CHOWK PUNE,1,136964.0,49.0,3.0
Churn Risk,SANTACRUZ E MUMBAI,1,47189.0,58.0,4.0
Churn Risk,SARAN,1,54135.0,43.0,2.0
Churn Risk,SAS NAGAR,4,74431.0,69.5,1.25
Churn Risk,SATARA,2,75080.48000000001,52.5,2.0
Churn Risk,SATELLITE AHMEDABAD,1,100041.87,64.0,2.0
Churn Risk,SBS NAGAR,1,100000.0,55.0,1.0
Churn Risk,SCHOOL HYDERABAD,1,57461.0,59.0,2.0
Churn Risk,SECT-24 AND 25A GURGAON,1,70854.0,49.0,2.0
Churn Risk,SECUNDERABAD,6,56750.5,54.666666666666664,1.8333333333333333
Churn Risk,SEONI MALWA,1,85419.0,24.0,2.0
Churn Risk,SHAHBAD,1,44231.0,25.0,1.0
Churn Risk,SHAHJAHANPUR,6,59826.450000000004,45.0,1.1666666666666667
Churn Risk,SHARJAH,4,79544.0,33.75,1.5
Churn Risk,SHILLLONG,1,67911.0,37.0,3.0
Churn Risk,SHIMLA,4,74029.0,51.5,1.75
Churn Risk,SHIMOGA,1,80570.0,54.0,2.0
Churn Risk,SIEMENS SHOWROOM BANGALORE,2,47095.67,64.5,1.5
Churn Risk,SIGNAL SION E MUMBAI,1,98348.0,64.0,1.0
Churn Risk,SILCHAR,2,54000.0,49.0,1.0
Churn Risk,SILIGURI,3,59549.666666666664,62.666666666666664,1.6666666666666667
Churn Risk,SINGAPORE,3,60003.333333333336,52.666666666666664,1.3333333333333333
Churn Risk,SINGHWARA,1,100149.0,42.0,2.0
Churn Risk,SINGTAM,1,44540.1,25.0,1.0
Churn Risk,SIRKALI,1,82590.0,54.0,1.0
Churn Risk,SIROHI,1,94100.0,76.0,2.0
Churn Risk,SIVAGANGAI DIST,1,50998.73,58.0,3.0
Churn Risk,SIVIDAO,2,105545.0,37.0,4.0
Churn Risk,SOLAN,3,69792.75,43.0,2.0
Churn Risk,SOLAPUR,2,151794.5,19.0,3.0
Churn Risk,SONEPAT,1,46028.0,62.0,2.0
Churn Risk,SONIPAT,8,62458.8025,48.375,2.0
Churn Risk,SOUTH 24 PARGANAS,2,65273.5,34.0,2.5
Churn Risk,SOUTHALL,1,82300.0,64.0,2.0
Churn Risk,SRINAGAR,3,68656.44333333334,52.333333333333336,2.3333333333333335
Churn Risk,SRIPERUMBUDUR,2,70312.145,60.5,2.5
Churn Risk,SRIVILLIPUTTUR,1,100480.0,26.0,3.0
Churn Risk,STAFFORD,1,53398.0,45.0,4.0
Churn Risk,STATION BANGALORE,1,55680.0,51.0,1.0
Churn Risk,STORE HYDERABAD,2,55000.0,56.0,1.0
Churn Risk,SUBURB BANGALORE,1,54402.66,38.0,2.0
Churn Risk,SULTANPUR,1,60011.0,47.0,2.0
Churn Risk,SUNNYVALE,1,54036.0,0.0,3.0
Churn Risk,SUPAUL,1,42000.0,46.0,1.0
Churn Risk,SURAT,8,68031.8725,38.875,2.625
Churn Risk,SURYAPET,1,74224.0,43.0,3.0
Churn Risk,TELEPHONE EXCHANGE SION-E MUMBAI,1,56748.01,29.0,3.0
Churn Risk,TEMPLE HYDERABAD,1,77722.8,39.0,2.0
Churn Risk,THANE,39,81045.48538461539,53.794871794871796,1.8461538461538463
Churn Risk,THANE W,3,68051.17333333332,32.666666666666664,2.0
Churn Risk,THANE WEST,15,93046.69733333333,57.06666666666667,1.7333333333333334
Churn Risk,THANJAVUR,1,47349.0,44.0,3.0
Churn Risk,THIROVANANTHA PURAM,2,49585.0,59.5,2.0
Churn Risk,THIRUVALLA,1,46997.0,41.0,2.0
Churn Risk,THIRUVALLUR,1,75000.0,54.0,1.0
Churn Risk,THOOTHUKUDI,1,46074.4,49.0,2.0
Churn Risk,THRISSUR,3,66866.33333333333,55.333333333333336,1.3333333333333333
Churn Risk,TIRUNELVELI,3,217187.78,50.666666666666664,2.6666666666666665
Churn Risk,TIRUPATI,1,100000.0,66.0,1.0
Churn Risk,TIRUPUR,3,55550.333333333336,48.0,1.6666666666666667
Churn Risk,TIRUVALLUR,1,150200.0,36.0,2.0
Churn Risk,TOHANA,1,41653.0,57.0,2.0
Churn Risk,TOKYO,4,68576.75,44.25,1.5
Churn Risk,TRICHY,4,87500.0,56.25,1.0
Churn Risk,TUENSANG,1,125050.0,43.0,2.0
Churn Risk,TUMKUR,1,46239.0,57.0,2.0
Churn Risk,UDAIPUR,6,53702.90166666667,40.5,1.8333333333333333
Churn Risk,UDAWADA,1,103668.0,48.0,3.0
Churn Risk,UDHAMPUR,1,101172.0,69.0,2.0
Churn Risk,UDUPI,2,75462.0,55.5,2.0
Churn Risk,UKBRUL,1,57381.08,41.0,2.0
Churn Risk,ULHASNAGAR,2,56800.0,40.5,1.5
Churn Risk,UNNAO,1,50694.0,60.0,2.0
Churn Risk,USHAGRAM BARDHAMAN ASANSOL,1,52043.19,37.0,2.0
Churn Risk,VADODARA,13,59021.99307692308,57.46153846153846,1.6923076923076923
Churn Risk,VALSAD,1,50540.0,63.0,2.0
Churn Risk,VAPI,2,69510.0,64.5,2.0
Churn Risk,VARANASI,1,66991.71,43.0,3.0
Churn Risk,VASAI,1,43491.0,40.0,1.0
Churn Risk,VASCO-DA-GAMA,1,53686.0,0.0,3.0
Churn Risk,VELLORE,3,51386.0,56.0,1.6666666666666667
Churn Risk,VIJAYAWADA,3,48789.85666666667,61.0,1.6666666666666667
